the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000B0C91AF5107B52C0747B4963B4604440,3443074,4662811,38 STREET,,2023-09-15 10:00:00+00,40.755505,-73.92291,Queens,11101,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000020F0C207C7C52C02C2CB81FF0604440,3443563,4662794,9 STREET,,2023-09-11 19:10:00+00,40.757328,-73.945076,Queens,11101,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified,Unspecified","Bus,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000F3716DA8187B52C04DBF44BC75604440,3443447,4662156,36 AVENUE,,2023-09-13 13:50:00+00,40.753593,-73.92338,Queens,11101,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Traffic Control Disregarded","Station Wagon/Sport Utility Vehicle,Moped"
0101000020E6100000111956F1467C52C0AA807B9E3F614440,3443550,4662799,,37-10     10 STREET,2023-09-12 17:19:00+00,40.759754,-73.94183,Queens,11101,1,0,0,1,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Moped"
0101000020E6100000ACC5A700187A52C01D93C5FD475E4440,3443209,4662875,BROOKLYN QUEENS EXPRESSWAY,,2023-09-14 18:30:00+00,40.736572,-73.907715,Queens,,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
0101000020E6100000541C075E2D7552C0BD6F7CED99594440,3443163,4662459,JAMAICA AVENUE,,2023-09-14 22:46:00+00,40.70001,-73.830894,Queens,11418,1,0,0,1,0,0,0,1,0,"Passenger Distraction,Passenger Distraction","Sedan,Sedan"
0101000020E610000012DA722EC57352C0E73922DFA5584440,3443658,4663064,LIBERTY AVENUE,,2023-09-03 21:07:00+00,40.692562,-73.80891,Queens,11435,1,0,0,0,0,1,0,1,0,Unspecified,Motorcycle
0101000020E6100000815B77F3547352C09817601F9D564440,3443349,4662271,VANWYCK EXPRESSWAY,,2023-09-13 16:34:00+00,40.67667,-73.80206,Queens,11420,1,0,0,1,0,0,0,1,0,"Other Vehicular,Driver Inattention/Distraction","Sedan,Ambulance"
0101000020E610000091442FA3587052C02FC03E3A754D4440,3443451,4663011,,11-65     BEACH CHANNEL DRIVE,2023-09-13 06:10:00+00,40.60514,-73.75541,Queens,11691,1,0,0,0,0,1,0,1,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
0101000020E6100000A5F78DAF3D7352C0E09C11A5BD554440,3443549,4662486,VANWYCK EXPRESSWAY,,2023-09-12 06:30:00+00,40.66985,-73.80064,Queens,11436,1,0,0,1,0,0,0,1,0,"Passing or Lane Usage Improper,Unspecified","Box Truck,Sedan"
0101000020E61000007233DC80CF7252C0F69672BED8574440,3443222,4662488,SUTPHIN BOULEVARD,,2023-09-14 19:46:00+00,40.686302,-73.793915,Queens,11436,1,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Failure to Yield Right-of-Way","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000003ECBF3E0EE7452C0CA37DBDC98584440,3443248,4662467,,95-39     LEFFERTS BOULEVARD,2023-09-14 17:56:00+00,40.692165,-73.82708,Queens,11419,1,1,0,0,0,0,0,1,0,"Following Too Closely,Unspecified",E-Bike
0101000020E61000003FC6DCB5847452C0FB3BDBA337584440,3443250,4662444,,124-18    103 AVENUE,2023-09-14 23:40:00+00,40.689198,-73.8206,Queens,11419,1,0,0,2,0,0,0,2,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
0101000020E61000003BAA9A20EA7352C0F0A5F0A0D9554440,3443371,4662141,133 AVENUE,,2023-09-13 08:45:00+00,40.670704,-73.811165,Queens,11420,1,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Sedan,SCOOTER"
0101000020E6100000E42CEC69877152C06D003620424C4440,3443394,4663012,BEACH 42 STREET,,2023-09-13 16:20:00+00,40.595768,-73.77389,Queens,11691,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Sedan,E-Bike"
0101000020E610000064E597C1187152C00FB4024356554440,3443500,4661867,FARMERS BOULEVARD,,2023-09-13 06:10:00+00,40.666695,-73.767136,Queens,11434,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E6100000F8889812497252C040C23060C94B4440,3443036,4663062,ROCKAWAY BEACH BOULEVARD,,2023-09-15 05:49:00+00,40.592083,-73.78571,Queens,,1,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Sedan,Sedan"
0101000020E61000000518963FDF6E52C0EA93DC6113554440,3443499,4661987,247 STREET,,2023-09-13 08:15:00+00,40.664654,-73.732376,Queens,11422,1,0,0,2,0,0,0,2,0,"Failure to Yield Right-of-Way,Unspecified,Unspecified,Unspecified","Sedan,Sedan,Sedan,Sedan"
0101000020E6100000834C3272167052C0417DCB9C2E554440,3443476,4662311,226 STREET,,2023-09-13 15:45:00+00,40.665485,-73.75137,Queens,11413,1,0,0,2,0,0,0,2,0,"Unsafe Lane Changing,Unspecified","Pick-up Truck,Station Wagon/Sport Utility Vehicle"
