Rank,Decile,Zip Code,Borough,Accident Count,Accident Likelihood
168,3,10307.0,Staten Island,83,0.24
169,3,10005.0,Manhattan,62,0.18
170,3,10464.0,Bronx,56,0.16
172,3,10000.0,Manhattan,39,0.11
173,3,10006.0,Manhattan,35,0.1
174,3,10069.0,Manhattan,32,0.09
175,2,11430.0,Queens,30,0.09
176,2,11001.0,Queens,27,0.08
177,2,10020.0,Manhattan,23,0.07
178,2,11040.0,Queens,22,0.06
180,2,10280.0,Manhattan,11,0.03
183,2,11697.0,Queens,9,0.03
185,2,10172.0,Manhattan,7,0.02
187,2,10281.0,Manhattan,7,0.02
186,2,10278.0,Manhattan,7,0.02
188,2,10282.0,Manhattan,6,0.02
190,2,10165.0,Manhattan,5,0.01
191,2,10112.0,Manhattan,4,0.01
192,2,10119.0,Manhattan,4,0.01
193,2,10168.0,Manhattan,4,0.01
194,2,11005.0,Queens,3,0.01
195,2,11109.0,Queens,2,0.01
198,1,10153.0,Manhattan,2,0.01
197,1,10121.0,Manhattan,2,0.01
199,1,10110.0,Manhattan,2,0.01
196,2,10118.0,Manhattan,2,0.01
208,1,10170.0,Manhattan,1,0.0
212,1,10271.0,Manhattan,1,0.0
204,1,10041.0,Manhattan,1,0.0
203,1,10045.0,Manhattan,1,0.0
201,1,10055.0,Manhattan,1,0.0
213,1,10279.0,Manhattan,1,0.0
211,1,10178.0,Manhattan,1,0.0
207,1,10169.0,Manhattan,1,0.0
210,1,10176.0,Manhattan,1,0.0
202,1,10120.0,Manhattan,1,0.0
205,1,10152.0,Manhattan,1,0.0
200,1,10155.0,Manhattan,1,0.0
218,1,10173.0,Manhattan,1,0.0
217,1,11251.0,Brooklyn,1,0.0
206,1,11371.0,Queens,1,0.0
