the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000F5673F52447A52C0AB09A2EE03704440,3477430,4689276,,82        WEST 225 STREET,2023-12-21 00:05:00+00,40.87512,-73.91042,Manhattan,10463.0,1,0,0,1,0,0,0,1,0,"Traffic Control Disregarded,Unspecified","Sedan,Sedan"
0101000020E61000007923F3C81F7E52C07380608E1E674440,3477371,4689796,HENRY HUDSON PARKWAY,,2023-12-22 22:34:00+00,40.80562,-73.97069,Manhattan,,1,0,0,3,0,0,0,3,0,"Unsafe Lane Changing,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E61000008AB0E1E9957C52C0FA0AD28C456B4440,3477611,4689838,WEST 161 STREET,,2023-12-12 06:32:00+00,40.83806,-73.94665,Manhattan,10032.0,1,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way,Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Bike"
0101000020E6100000BC79AA436E7C52C0382D78D157644440,3477124,4689587,EAST 97 STREET,,2023-12-23 17:05:00+00,40.78393,-73.94423,Manhattan,10029.0,1,0,0,0,0,2,0,2,0,Unspecified,Sedan
0101000020E61000008E06F016487E52C0B9DFA128D05F4440,3477127,4689708,EAST 40 STREET,,2023-12-23 15:40:00+00,40.74854,-73.97315,Manhattan,10016.0,1,1,0,0,0,1,0,2,0,"Driver Inattention/Distraction,Brakes Defective","Pick-up Truck,Bike"
0101000020E6100000B16D5166837E52C0C13A8E1F2A5F4440,3477379,4689458,2 AVENUE,,2023-12-22 16:15:00+00,40.743473,-73.97677,Manhattan,10016.0,1,1,0,0,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Bike,Station Wagon/Sport Utility Vehicle"
0101000020E6100000618E1EBFB77B52C0F7E461A1D6664440,3477062,4690093,2 AVENUE,,2023-12-23 12:43:00+00,40.803425,-73.93309,Manhattan,10035.0,1,0,0,3,0,1,0,4,0,"Driver Inattention/Distraction,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
0101000020E610000010751F80D47B52C0AE0D15E3FC694440,3477414,4689172,WEST 155 STREET,,2023-12-21 15:03:00+00,40.82803,-73.934845,Manhattan,,1,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
0101000020E610000056BC9179E47B52C0C9E53FA4DF664440,3477593,4690100,EAST 125 STREET,,2023-12-16 16:50:00+00,40.8037,-73.93582,Manhattan,,1,0,0,0,0,1,0,1,0,Unspecified,Sedan
0101000020E6100000C85EEFFE787C52C0B6D782DE1B694440,3477301,4689828,,136       EDGECOMBE AVENUE,2023-12-22 05:43:00+00,40.821163,-73.944885,Manhattan,10030.0,1,0,0,1,0,0,0,1,0,"Animals Action,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
