the_geom,cartodb_id,socrata_id,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,crash_count,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
0101000020E6100000E0F76F5E9C7A52C0AD6EF59CF4704440,3493320,4700434,HENRY HUDSON PARKWAY,,2024-02-05 09:30:00+00,40.882465,-73.915794,Bronx,10463.0,1,0,0,0,0,0,0,0,0,Unspecified,Sedan
0101000020E61000008A93FB1D8A7852C0505260014C6F4440,3493382,4700861,,2983      MARION AVENUE,2024-02-05 10:45:00+00,40.869507,-73.88343,Bronx,10458.0,1,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction,Unspecified","Sedan,Pick-up Truck"
0101000020E6100000C03E3A75E57952C0FEEDB25F776C4440,3493332,4700900,EAST 176 STREET,,2024-02-05 10:03:00+00,40.847393,-73.90463,Bronx,10457.0,1,0,0,0,0,0,0,0,0,Unspecified,Sedan
0101000020E6100000E275FD82DD7852C00C93A98251734440,3493450,4700526,HENRY HUDSON PARKWAY,,2024-02-04 07:00:00+00,40.900925,-73.88852,Bronx,,1,0,0,0,0,0,0,0,0,Pavement Slippery,Pick-up Truck
0101000020E61000008D7A8846777A52C066D993C0E6684440,3493315,4700817,3 AVENUE,,2024-02-05 12:00:00+00,40.819542,-73.91353,Bronx,10455.0,1,0,0,0,0,0,0,0,0,Unspecified,Sedan
0101000020E6100000C8EF6DFAB37952C0FE99417C606F4440,3493470,4700951,,2728      WEBB AVENUE,2024-02-04 13:00:00+00,40.870132,-73.90161,Bronx,10468.0,1,0,0,0,0,0,0,0,0,Unspecified,Taxi
0101000020E6100000C03DCF9F367A52C0CADFBDA3C66A4440,3493390,4700607,CLAY AVENUE,,2024-02-05 16:16:00+00,40.834187,-73.909584,Bronx,,1,0,0,0,0,0,0,0,0,"Alcohol Involvement,Unspecified","Sedan,Sedan"
0101000020E6100000C47C7901F67652C00A68226C786E4440,3493296,4700623,MACE AVENUE,,2024-02-05 07:27:00+00,40.86305,-73.858765,Bronx,10469.0,1,0,0,0,0,0,0,0,0,Glare,Sedan
0101000020E6100000C0266BD4437652C01C5F7B66496C4440,3493346,4700622,WILLIAMSBRIDGE ROAD,,2024-02-05 07:30:00+00,40.84599,-73.84789,Bronx,,1,0,0,0,0,0,0,0,0,"Following Too Closely,Unspecified",Station Wagon/Sport Utility Vehicle
0101000020E610000074EACA67797652C01684F23E8E6A4440,3493319,4700912,,1224      CASTLE HILL AVENUE,2024-02-05 12:15:00+00,40.832466,-73.85116,Bronx,10462.0,1,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper,Unspecified",Station Wagon/Sport Utility Vehicle
0101000020E6100000B3EF8AE07F7852C08E23D6E253684440,3493394,4700656,SPOFFORD AVENUE,,2024-02-05 06:55:00+00,40.81506,-73.882805,Bronx,,1,0,0,0,0,0,0,0,0,"Turning Improperly,Unspecified","Box Truck,Box Truck"
0101000020E610000076711B0DE07552C0F6ED2422FC694440,3493481,4700942,CROSS BRONX EXTENTION,,2024-02-02 03:30:00+00,40.828007,-73.8418,Bronx,,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Flat Bed,Sedan"
0101000020E6100000C6850321597A52C054AC1A84B9714440,3493284,4700433,,3707      BLACKSTONE AVENUE,2024-02-05 00:00:00+00,40.888474,-73.91169,Bronx,10463.0,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified,Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan"
0101000020E6100000033FAA61BF7952C0BF0D315EF3704440,3493486,4700950,,5716      BROADWAY,2024-02-01 15:17:00+00,40.882427,-73.902306,Bronx,10463.0,1,0,0,0,0,0,0,0,0,Unspecified,Sedan
0101000020E6100000211FF46C567352C0DF15C1FF566E4440,3493491,4700926,CITY ISLAND ROAD,,2024-01-29 23:06:00+00,40.86203,-73.80215,Bronx,,1,0,0,0,0,0,0,0,0,"Passing or Lane Usage Improper,Unspecified","Sedan,Sedan"
0101000020E6100000FA6184F0687552C040FB9122326C4440,3493472,4700939,WESTCHESTER AVENUE,,2024-02-03 08:28:00+00,40.84528,-73.83453,Bronx,,1,0,0,0,0,0,0,0,0,"Backing Unsafely,Unspecified","Dump,Sedan"
0101000020E61000008E40BCAE5F7852C0247F30F0DC674440,3493409,4700628,,509       HALLECK STREET,2024-02-05 19:40:00+00,40.81143,-73.88084,Bronx,10474.0,1,0,0,0,0,0,0,0,0,"Alcohol Involvement,Unspecified","Flat Bed,Station Wagon/Sport Utility Vehicle"
0101000020E610000039EE940ED67552C0DC12B9E00C6A4440,3493471,4700935,BRUCKNER BOULEVARD,,2024-02-03 04:50:00+00,40.828518,-73.84119,Bronx,10465.0,1,0,0,0,0,0,0,0,0,Other Vehicular,Station Wagon/Sport Utility Vehicle
0101000020E61000008B71FE26147652C07D5C1B2AC6714440,3493477,4700967,ELY AVENUE,,2024-02-02 22:00:00+00,40.88886,-73.84498,Bronx,,1,0,0,0,0,0,0,0,0,"Unspecified,Unspecified","Sedan,Sedan"
0101000020E61000007FA5F3E1597852C0F584251E506C4440,3493331,4700811,BRONX PARK SOUTH,,2024-02-05 07:50:00+00,40.846195,-73.880486,Bronx,10460.0,1,0,0,0,0,0,0,0,0,"Failure to Yield Right-of-Way,Unspecified","Sedan,Sedan"
